Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ADX,"Adams Diversified Equity Fund, Inc.",13.19,1291484948,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",19.89,558767065,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AE,"Adams Resources & Energy, Inc.",37.07,156346283.7,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADAP,Adaptimmune Therapeutics plc,6.62,207502523,31344792,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADK,Adcare Health Systems Inc,2.34,46679569.56,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,21.75,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
ADUS,Addus HomeCare Corporation,24.87,285097269.9,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AGRO,Adecoagro S.A.,10.37,1269101340,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,44.84,1156859714,n/a,2014,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt
ADBE,Adobe Systems Incorporated,103.57,51607987684,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",18.83,911353019.4,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",14.49,938289169.4,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAP,Advance Auto Parts Inc,158.57,11677121757,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AAAP,Advanced Accelerator Applications S.A.,34.63,872417279.3,25192529,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
WMS,"Advanced Drainage Systems, Inc.",23.1,1257711886,n/a,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
AEIS,"Advanced Energy Industries, Inc.",45.39,1800892369,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp
ASX,"Advanced Semiconductor Engineering, Inc.",6.03,9379953952,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
APFH,"AdvancePierre Foods Holdings, Inc.",25.85,1989098226,n/a,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh
AAV,Advantage Oil & Gas Ltd,6.95,1282657743,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ADXSW,"Advaxis, Inc.",7.55,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
AVK,Advent Claymore Convertible Securities and Income Fund,15.29,360551609.3,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,5.88,189387602.9,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.4,114265410,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.0741,1203705,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
YPRO,AdvisorShares YieldPro ETF,23.6899,18359672.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro
ACM,AECOM,30.66,4712271622,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,10.29,521660327.4,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEGR,"Aegerion Pharmaceuticals, Inc.",1.6,47223116.8,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,19.01,657760105.4,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEB,Aegon NV,24.91,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
